nombre,enlace,link_imagen,precio,valor_nutricional,oferta,precio_por_peso
Hojaldre de Astorga El molino de Dia bandeja 180 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/287689,https://www.dia.es/product_images/287689/287689_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 15g de las cuales saturadas 7g Hidratos de Carbono 63g de los cuales azúcares 42g Fibra alimentaria 3.3g Proteínas 3.3g Sal 0.52g,No disponible,"(5,56 €/KILO)"
Rosquillas de chocolate El molino de Dia bandeja 240 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/88697,https://www.dia.es/product_images/88697/88697_ISO_0_ES.jpg?imwidth=392,"1,79 €",Grasas 29g de las cuales saturadas 18g Hidratos de Carbono 42g de los cuales azúcares 12g Proteínas 6.7g Sal 0.44g,No disponible,"(7,46 €/KILO)"
Sobaos pequeños El molino de Dia bolsa 340 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/220229,https://www.dia.es/product_images/220229/220229_ISO_0_ES.jpg?imwidth=392,"1,35 €",Grasas 23.1g de las cuales saturadas 8.6g Hidratos de Carbono 53g de los cuales azúcares 28.2g Proteínas 4.9g Sal 0.65g,No disponible,"(3,97 €/KILO)"
Magdalenas valencianas El molino de Dia bolsa 350 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/105304,https://www.dia.es/product_images/105304/105304_ISO_0_ES.jpg?imwidth=392,"1,39 €",Grasas 21g de las cuales saturadas 2.6g Hidratos de Carbono 55g de los cuales azúcares 27g Proteínas 5.4g Sal 0.85g,No disponible,"(3,97 €/KILO)"
Briochoco con pepitas de chocolate Dulcesol bolsa 160 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271497,https://www.dia.es/product_images/271497/271497_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 20g de las cuales saturadas 9.9g Hidratos de Carbono 51g de los cuales azúcares 18g Fibra alimentaria 2.4g Proteínas 7.2g Sal 0.63g,No disponible,"(6,25 €/KILO)"
Mini croissants con cacao El molino de Dia bolsa 150 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/222838,https://www.dia.es/product_images/222838/222838_ISO_0_ES.jpg?imwidth=392,"1,19 €",Grasas 29g de las cuales saturadas 18g Hidratos de Carbono 50g de los cuales azúcares 21g Proteínas 6.3g Sal 0.65g,No disponible,"(7,93 €/KILO)"
Ensaimadas El molino de Dia bolsa 220 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/87066,https://www.dia.es/product_images/87066/87066_ISO_0_ES.jpg?imwidth=392,"1,19 €",Grasas 25g de las cuales saturadas 13g Hidratos de Carbono 51g de los cuales azúcares 17g Fibra alimentaria 6.8g Proteínas 6.8g Sal 0.92g,No disponible,"(5,41 €/KILO)"
Flaminguitos rosas rellenos de crema con leche Dulcesol bolsa 150 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/303756,https://www.dia.es/product_images/303756/303756_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 23g de las cuales saturadas 10g Hidratos de Carbono 56g de los cuales azúcares 35g Fibra alimentaria 1g Proteínas 4.1g Sal 0.63g,No disponible,"(6,67 €/KILO)"
Mini brownies de chocolate Dulcesol bolsa 125 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/293030,https://www.dia.es/product_images/293030/293030_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 24g de las cuales saturadas 4g Hidratos de Carbono 51g de los cuales azúcares 38g Fibra alimentaria 3g Proteínas 5.5g Sal 0.25g,No disponible,"(8,00 €/KILO)"
Caña rellena de crema bañada en cacao Dulcesol bolsa 153 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/271501,https://www.dia.es/product_images/271501/271501_ISO_0_ES.jpg?imwidth=392,"1,00 €",Grasas 21g de las cuales saturadas 14g Hidratos de Carbono 55g de los cuales azúcares 32g Fibra alimentaria 3.2g Proteínas 3.4g Sal 0.4g,No disponible,"(6,54 €/KILO)"
Rosquillas de azúcar Pelayo bolsa 250 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/279899,https://www.dia.es/product_images/279899/279899_ISO_0_ES.jpg?imwidth=392,"1,49 €",Grasas 32.5g de las cuales saturadas 4g Hidratos de Carbono 46g de los cuales azúcares 20.9g Fibra alimentaria 2.4g Proteínas 5.2g Sal 0.82g,No disponible,"(5,96 €/KILO)"
Palitos de pan y crema de cacao Bollycao vaso 52 g,https://www.dia.es/galletas-bollos-y-cereales/bolleria/p/907,https://www.dia.es/product_images/907/907_ISO_0_ES.jpg?imwidth=392,"1,99 €",Grasas 20g de las cuales saturadas 7.5g Hidratos de Carbono 64g de los cuales azúcares 36g Fibra alimentaria 2.5g Proteínas 7.7g Sal 0.55g,No disponible,"(38,27 €/KILO)"
